epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,100.725,2.9542,3.12703,2.85452,0.46834,0.52209,0.35095,0.18019,3.17678,6.31943,3.27706,0.06931,0.00031,0.00031
2,161.736,2.78391,2.78682,2.74572,0.56859,0.49326,0.46525,0.25602,3.28492,4.97371,3.45523,0.0376175,0.000617526,0.000617526
3,221.651,2.88134,2.91289,2.80737,0.57652,0.40125,0.44449,0.23715,3.29841,5.69219,3.34802,0.00591238,0.00091238,0.00091238
4,282.055,2.95713,2.99415,2.85162,0.54887,0.41451,0.44901,0.22783,3.63515,4.35442,3.56119,0.0009406,0.0009406,0.0009406
5,340.988,2.95109,2.75194,2.83759,0.53327,0.47875,0.46919,0.24985,3.29424,5.05176,3.30174,0.0009208,0.0009208,0.0009208
6,399.523,2.82119,2.73091,2.85809,0.63777,0.46988,0.5048,0.26163,3.17817,3.70147,3.2248,0.000901,0.000901,0.000901
7,458.206,2.85273,2.70434,2.78105,0.59446,0.42633,0.45684,0.25073,3.21893,4.06155,3.22397,0.0008812,0.0008812,0.0008812
8,517.041,2.77539,2.62013,2.73572,0.58426,0.5244,0.53027,0.30231,3.29609,3.26634,3.25935,0.0008614,0.0008614,0.0008614
9,574.682,2.77983,2.56986,2.75939,0.61731,0.49008,0.50355,0.27823,3.06442,3.8806,3.03958,0.0008416,0.0008416,0.0008416
10,632.817,2.75901,2.49137,2.71713,0.67728,0.53578,0.59308,0.35143,2.98151,2.67108,2.95587,0.0008218,0.0008218,0.0008218
11,690.279,2.72489,2.43604,2.67875,0.6158,0.54112,0.53016,0.30831,3.03286,3.08972,3.00887,0.000802,0.000802,0.000802
12,751.225,2.65558,2.36089,2.61654,0.66254,0.56627,0.58078,0.34689,2.8259,2.90406,2.90465,0.0007822,0.0007822,0.0007822
13,810.578,2.69069,2.36617,2.63108,0.6344,0.58907,0.6057,0.353,2.85416,2.83556,2.81361,0.0007624,0.0007624,0.0007624
14,869.142,2.60178,2.20745,2.58458,0.61834,0.57753,0.58394,0.33168,2.93963,3.09019,2.88544,0.0007426,0.0007426,0.0007426
15,930.412,2.58558,2.20238,2.6065,0.7177,0.55381,0.62317,0.36286,2.8478,2.66221,2.84136,0.0007228,0.0007228,0.0007228
16,988.072,2.52323,2.15614,2.54825,0.72225,0.57951,0.64006,0.39592,2.71649,2.37011,2.72201,0.000703,0.000703,0.000703
17,1045.93,2.50834,2.15393,2.56328,0.688,0.6034,0.65008,0.39906,2.73696,2.48041,2.75155,0.0006832,0.0006832,0.0006832
18,1107.35,2.41459,2.13281,2.50886,0.74608,0.59449,0.65902,0.40131,2.72147,2.29508,2.75499,0.0006634,0.0006634,0.0006634
19,1166.07,2.37151,1.95789,2.50096,0.69134,0.646,0.64613,0.40405,2.7466,2.17461,2.76091,0.0006436,0.0006436,0.0006436
20,1230.84,2.41404,1.99269,2.50506,0.69823,0.56741,0.62779,0.39222,2.7064,2.40638,2.74841,0.0006238,0.0006238,0.0006238
21,1289.66,2.30562,1.89405,2.43501,0.67991,0.63326,0.64442,0.40046,2.70968,2.14207,2.75043,0.000604,0.000604,0.000604
22,1351.53,2.35208,1.9512,2.43599,0.73255,0.59867,0.66208,0.42308,2.67341,2.1857,2.63064,0.0005842,0.0005842,0.0005842
23,1407.81,2.30972,1.87785,2.49305,0.74394,0.62632,0.66879,0.43395,2.55213,2.08054,2.5964,0.0005644,0.0005644,0.0005644
24,1466.48,2.24873,1.78108,2.41262,0.6838,0.61609,0.64576,0.41034,2.6514,2.10593,2.63391,0.0005446,0.0005446,0.0005446
25,1525.7,2.23416,1.81679,2.3966,0.72038,0.61767,0.6669,0.42132,2.61167,2.03162,2.64101,0.0005248,0.0005248,0.0005248
26,1581.29,2.24661,1.84136,2.40877,0.69247,0.63324,0.66826,0.42357,2.608,2.06896,2.66442,0.000505,0.000505,0.000505
27,1644.52,2.17946,1.74292,2.34908,0.71788,0.62346,0.67655,0.42327,2.65845,2.16033,2.70385,0.0004852,0.0004852,0.0004852
28,1704.76,2.12319,1.68111,2.32215,0.72942,0.65255,0.67481,0.41798,2.66823,2.0837,2.68696,0.0004654,0.0004654,0.0004654
29,1761.56,2.10908,1.6497,2.30888,0.65903,0.67468,0.67146,0.42461,2.57493,2.10977,2.62024,0.0004456,0.0004456,0.0004456
30,1823.45,2.04267,1.63541,2.31083,0.78658,0.57628,0.67761,0.43126,2.52262,2.04659,2.60027,0.0004258,0.0004258,0.0004258
31,1880.27,2.10147,1.62891,2.29211,0.726,0.62385,0.66011,0.42322,2.58042,2.04592,2.61265,0.000406,0.000406,0.000406
32,1940.07,1.99863,1.54124,2.31147,0.718,0.63012,0.67856,0.43242,2.52982,1.98215,2.57523,0.0003862,0.0003862,0.0003862
33,1998.04,2.0527,1.51978,2.27678,0.72672,0.63842,0.68542,0.43945,2.46575,1.884,2.52437,0.0003664,0.0003664,0.0003664
34,2053.91,1.98396,1.48992,2.23723,0.74036,0.66047,0.69673,0.45137,2.5277,1.8768,2.59226,0.0003466,0.0003466,0.0003466
35,2112.38,2.03989,1.49526,2.24351,0.73363,0.6594,0.69774,0.45187,2.52614,1.9884,2.6087,0.0003268,0.0003268,0.0003268
36,2168.82,1.98131,1.44507,2.22686,0.71383,0.67914,0.7027,0.4639,2.48354,1.83935,2.60649,0.000307,0.000307,0.000307
37,2226.26,1.91671,1.40895,2.27152,0.77001,0.66431,0.70002,0.46036,2.48301,1.98709,2.58661,0.0002872,0.0002872,0.0002872
38,2283.99,2.01941,1.44934,2.20442,0.76318,0.65867,0.69523,0.44849,2.45137,1.93128,2.5439,0.0002674,0.0002674,0.0002674
39,2343.26,1.95727,1.42051,2.20217,0.74715,0.66927,0.71421,0.48005,2.43443,1.88567,2.57777,0.0002476,0.0002476,0.0002476
40,2402.78,1.84164,1.28712,2.17377,0.77989,0.64174,0.7133,0.4765,2.38626,1.86876,2.54872,0.0002278,0.0002278,0.0002278
41,2477.04,1.81654,1.2787,2.08537,0.78191,0.61715,0.68687,0.45666,2.44161,2.06608,2.56458,0.000208,0.000208,0.000208
42,2539.11,1.76269,1.16021,2.08016,0.77119,0.67978,0.71976,0.47255,2.41772,1.89363,2.53913,0.0001882,0.0001882,0.0001882
43,2595.58,1.75463,1.13664,2.08509,0.77936,0.65821,0.71491,0.47267,2.41979,1.8518,2.53533,0.0001684,0.0001684,0.0001684
44,2654.73,1.70726,1.07115,2.05056,0.7482,0.65414,0.70755,0.47236,2.41532,1.84977,2.51175,0.0001486,0.0001486,0.0001486
45,2715.2,1.64328,1.0198,2.00846,0.73574,0.68484,0.71879,0.47838,2.3973,1.77232,2.50793,0.0001288,0.0001288,0.0001288
46,2778.49,1.64719,1.01343,1.9877,0.75562,0.67443,0.7257,0.48398,2.38322,1.8082,2.49092,0.000109,0.000109,0.000109
47,2832.39,1.62416,0.99103,1.9704,0.76643,0.66324,0.72151,0.48325,2.391,1.85851,2.50233,8.92e-05,8.92e-05,8.92e-05
48,2892.95,1.5817,0.97055,1.97449,0.75899,0.66603,0.71529,0.47489,2.38582,1.84681,2.50039,6.94e-05,6.94e-05,6.94e-05
49,2948.19,1.58329,0.95339,1.96246,0.75036,0.67333,0.71925,0.47575,2.367,1.83034,2.48838,4.96e-05,4.96e-05,4.96e-05
50,3007.84,1.56034,0.96123,1.98108,0.73717,0.68204,0.72155,0.48439,2.3498,1.83801,2.48218,2.98e-05,2.98e-05,2.98e-05
